PlayerName	Position	Salary	NextSalary	SalaryCap	Team
Tony Romo	QB	9000000	11500000	18905000	Dallas Cowboys
Anthony Spencer	LB	8800000	0	8800000	Dallas Cowboys
Jay Ratliff	DE	4875000	0	6475000	Dallas Cowboys
Terence Newman (buyout)	CB	4800000	0	4800000	Dallas Cowboys
Orlando Scandrick	CB	4700000	0	7700000	Dallas Cowboys
DeMarcus Ware	LB	4500000	5500000	10303000	Dallas Cowboys
Jason Witten	TE	3641000	0	5841000	Dallas Cowboys
Marcus Spears	DE	2000000	2000000	2700000	Dallas Cowboys
Kenyon Coleman	DE	1900000	0	2245000	Dallas Cowboys
Jason Hatcher	DE	1500000	2000000	2100000	Dallas Cowboys
Dez Bryant	WR	1335000	1557500	3660000	Dallas Cowboys
Doug Free	T	1200000	7000000	5375000	Dallas Cowboys
Felix Jones	RB	1170000	0	1884000	Dallas Cowboys
Miles Austin	WR	1150000	6732000	2720000	Dallas Cowboys
Brodney Pool	S	1100000	0	1200000	Dallas Cowboys
Mike Jenkins	CB	1052000	0	1672000	Dallas Cowboys
Gerald Sensabaugh	S	1000000	3000000	1140000	Dallas Cowboys
Mackenzy Bernadeau	G	1000000	1750000	1812500	Dallas Cowboys
Tyron Smith	T	943004	0	2840022	Dallas Cowboys
Kyle Orton	QB	900000	1350000	2566667	Dallas Cowboys
Lawrence Vickers	RB	800000	1200000	915000	Dallas Cowboys
L.P. Ladouceur	DE	790000	0	964000	Dallas Cowboys
Kyle Kosier (buyout)	G	700000	0	700000	Dallas Cowboys
Victor Butler	DE	615000	0	739635	Dallas Cowboys
John Phillips	TE	565000	0	584562	Dallas Cowboys
Stephen McGee	QB	565000	0	698000	Dallas Cowboys
Tony Fiammetta	FB	565000	0	673953	Dallas Cowboys
Bruce Carter	LB	545664	766327	1053164	Dallas Cowboys
Clifton Geathers	DE	540000	0	540000	Dallas Cowboys
Danny McCray	CB	540000	0	540000	Dallas Cowboys
Jeremy Parnell	T	540000	0	540000	Dallas Cowboys
Sean Lee	LB	540000	575000	840000	Dallas Cowboys
Sean Lissemore	DT	540000	575000	552150	Dallas Cowboys
DeMarco Murray	RB	510281	0	675781	Dallas Cowboys
Barry Church	CB	490000	0	494000	Dallas Cowboys
Josh Brent	DT	490000	575000	501875	Dallas Cowboys
Phil Costa	G	490000	0	494000	Dallas Cowboys
Alex Albright	LB	465000	555000	465000	Dallas Cowboys
Andre Holmes	WR	465000	555000	465000	Dallas Cowboys
Bill Nagy	C	465000	555000	476475	Dallas Cowboys
Chris Jones	PR	465000	555000	465000	Dallas Cowboys
Dan Bailey	K	465000	555000	465000	Dallas Cowboys
David Arkin	T	465000	555000	590000	Dallas Cowboys
Dwayne Harris	WR	465000	555000	514145	Dallas Cowboys
Kai Forbath	KR	465000	555000	465000	Dallas Cowboys
Kevin Kowalski	C	465000	555000	465000	Dallas Cowboys
Shaun Chapas	FB	465000	555000	479213	Dallas Cowboys
David Buehler (buyout)	K	37125	0	37125	Dallas Cowboys
Antrel Rolle	S	6750000	7000000	9100000	New York Giants
Corey Webster	CB	6500000	7000000	6750000	New York Giants
Chris Canty	DE	6000000	6250000	7666667	New York Giants
Chris Snee	G	5200000	6200000	7783333	New York Giants
Mathias Kiwanuka	LB	4000000	0	5550000	New York Giants
Michael Boley	LB	4000000	4250000	5650000	New York Giants
Osi Umenyiora	DE	3975000	0	4617857	New York Giants
Justin Tuck	DE	3200000	4000000	7500000	New York Giants
Ahmad Bradshaw	RB	3000000	3750000	4500000	New York Giants
Martellus Bennett	TE	2500000	0	2500000	New York Giants
Kenny Phillips	S	2080000	0	3186000	New York Giants
Brandon Jacobs (buyout)	RB	1962500	0	1962500	New York Giants
Eli Manning	QB	1750000	13000000	9600000	New York Giants
Kevin Boothe	G	1500000	0	1500000	New York Giants
Lawrence Tynes	K	1300000	0	1550000	New York Giants
David Diehl	T	1200000	4100000	2700000	New York Giants
Terrell Thomas	CB	1000000	750000	1250000	New York Giants
David Baas	G	900000	4250000	3375000	New York Giants
Zak DeOssie	LB	874000	0	1054667	New York Giants
Jason Pierre-Paul	DE	825000	1175000	3150961	New York Giants
Hakeem Nicks	WR	750000	925000	2050000	New York Giants
Prince Amukamara	CB	746859	1118718	1846859	New York Giants
Danny Ware	RB	650000	0	1005000	New York Giants
Domenik Hixon	WR	615000	0	615000	New York Giants
Travis Beckum	TE	615000	0	768250	New York Giants
Clint Sintim	LB	565000	0	1125000	New York Giants
Ramses Barden	WR	565000	0	1493750	New York Giants
William Beatty	T	565000	0	795000	New York Giants
Marvin Austin	DT	546627	668254	856627	New York Giants
Bruce Johnson	CB	540000	0	540000	New York Giants
Jake Ballard	TE	540000	0	540000	New York Giants
Linval Joseph	DT	540000	575000	1165000	New York Giants
Adrian Tracy	LB	490000	575000	516326	New York Giants
Chad Jones	S	490000	575000	696491	New York Giants
Mitch Petrus	G	490000	575000	537790	New York Giants
Ryan Purvis	TE	490000	575000	490000	New York Giants
Selvish Capers	T	490000	575000	502500	New York Giants
Victor Cruz	WR	490000	0	490000	New York Giants
Da'Rel Scott	RB	465000	555000	478975	New York Giants
Greg Jones	LB	465000	555000	515066	New York Giants
Henry Hynoski	RB	465000	555000	470000	New York Giants
