name, team, position
Aaron Rodgers, GB, QB
Tom Brady, NE, QB
Drew Brees, NO, QB
Cam Newton, CAR, QB
Matthew Stafford, DET, QB
Michael Vick, PHI, QB
Eli Manning, NYG, QB
Matt Ryan, ATL, QB
Tony Romo, DAL, QB
Philip Rivers, SD, QB
Peyton Manning, DEN, QB
Ben Roethlisberger, PIT, QB
Jay Cutler, CHI, QB
Robert Griffin III, WAS, QB
Matt Schaub, HOU, QB
Andrew Luck, IND, QB
Josh Freeman, TB, QB
Andy Dalton, CIN, QB
Joe Flacco, BAL, QB
Alex Smith, SF, QB
Carson Palmer, OAK, QB
Jake Locker, TEN, QB
Ryan Fitzpatrick, BUF, QB
Sam Bradford, STL, QB
Matt Cassel, KC, QB
Russell Wilson, SEA, QB
Christian Ponder, MIN, QB
Mark Sanchez, NYJ, QB
Tim Tebow, NYJ, QB
Matt Flynn, SEA, QB
Brandon Weeden, CLE, QB
John Skelton, ARI, QB
Ryan Tannehill, MIA, QB
Blaine Gabbert, JAC, QB
Matt Hasselbeck, TEN, QB
Kevin Kolb, ARI, QB
Matt Moore, MIA, QB
Colt McCoy, CLE, QB
Chad Henne, JAC, QB
Nick Foles, PHI, QB
Brad Smith, BUF, QB
Joe Webb, MIN, QB
Shaun Hill, DET, QB
Kyle Orton, DAL, QB
David Garrard, MIA, QB
Tarvaris Jackson, BUF, QB
Brock Osweiler, DEN, QB
T.J. Yates, HOU, QB
Rex Grossman, WAS, QB
Kirk Cousins, WAS, QB
Jason Campbell, CHI, QB
Ryan Lindley, ARI, QB
Colin Kaepernick, SF, QB
Byron Leftwich, PIT, QB
Ryan Mallett, NE, QB
Dan Orlovsky, TB, QB
Derek Anderson, CAR, QB
Charlie Whitehurst, SD, QB
Caleb Hanie, DEN, QB
Matt Leinart, OAK, QB
Drew Stanton, IND, QB
Chase Daniel, NO, QB
Jimmy Clausen, CAR, QB
John Beck, HOU, QB
Bruce Gradkowski, CIN, QB
Curtis Painter, BAL, QB
Josh Johnson, SF, QB
Seneca Wallace, CLE, QB
Trent Edwards, PHI, QB
Kellen Clemens, STL, QB
Billy Volek, SD, QB
Troy Smith, PIT, QB
Sage Rosenfels, MIN, QB
Mark Brunell, NYJ, QB
Stephen McGee, DAL, QB
Terrelle Pryor, OAK, QB
Chris Redman, ATL, QB
Tyler Thigpen, BUF, QB
Tyrod Taylor, BAL, QB
Charlie Batch, PIT, QB
Luke McCown, NO, QB
Brady Quinn, KC, QB
Kellen Moore, DET, QB
Graham Harrell, GB, QB
Brian Hoyer, NE, QB
B.J. Coleman, GB, QB
David Carr, NYG, QB
Mike Kafka, PHI, QB
Donovan McNabb, MIN, QB
Josh McCown, CHI, QB
A.J. Feeley, STL, QB
Jordan Palmer, JAC, QB
Dennis Dixon, PIT, QB
Rusty Smith, TEN, QB
Jon Kitna, DAL, QB
Jeff Garcia, HOU, QB
Sean Canfield, NO, QB
Ricky Stanzi, KC, QB
Chandler Harnish, IND, QB
Kyle Boller, OAK, QB
Nick Hill, GB, QB
Josh Portis, SEA, QB
Dan LeFevour, JAC, QB
Richard Bartel, ARI, QB
Zac Robinson, CIN, QB
Jonathan Crompton, WAS, QB
Ryan Perrilloux, NYG, QB
Nathan Enderle, JAC, QB
Adam Weber, DEN, QB
Greg McElroy, NYJ, QB
Scott Tolzien, SF, QB
McLeod Bethel-Thompson, MIN, QB
Brett Ratliff, TB, QB
Jerrod Johnson, PIT, QB
Mike Hartline, NE, QB
Thaddeus Lewis, CLE, QB
Tom Brandstater, STL, QB
Trevor Vittatoe, IND, QB
Tyler Palko, KC, QB
Pat Devlin, MIA, QB
Rudy Carpenter, DAL, QB
Rhett Bomar, OAK, QB
John Parker Wilson, ATL, QB
Kevin O'Connell, SD, QB
Jacory Harris, PHI, QB
Alex Tanney, KC, QB
Jarrett Lee, SD, QB
John Brantley, BAL, QB
Chester Stewart, BAL, QB
Matt Blanchard, CHI, QB
David Legree, IND, QB
Kyle Newhall-Caballero, OAK, QB
Dominique Davis, ATL, QB
Nick Stephens, TEN, QB
Case Keenum, HOU, QB
Aaron Corp, BUF, QB
Tyler Hansen, CIN, QB
Austin Davis, STL, QB
Kerry Collins, IND, QB
Matt Simms, NYJ, QB
G.J. Kinne, NYJ, QB
R.J. Archer, DET, QB
